Time,VC0,D_CaL_sCaLm,D_CaL_sCaLh,D_CaL_vCaLm,D_CaL_vCaLh,D_CaL_tCaLh1,D_CaL_tCaLh2,D_CaL_gCaL,D_CaL_mCaL_inf,D_CaL_hCaL_inf,D_CaL_tauCaLm,D_CaL_tauCaLh,D_CaL_iCaL,D_CaL_mCaL,D_CaL_hCaL
1.699999999999996,-61.51421295597573,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04103431117900858 ,0.9966747957819735 ,0.1927372541835315 ,53.76348639769815 ,-0.10160172914790323 ,0.04114032180841702 ,0.6775053640162547  
1.7249999999999959,-61.51395882411683,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041035311708815074 ,0.9966746272479806 ,0.1927389932857067 ,53.76352138048189 ,-0.10155129480520503 ,0.04112754742559159 ,0.6776537430006462  
1.7499999999999958,-61.513704794940935,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041036311765301384 ,0.9966744587891396 ,0.19274073154390087 ,53.76355634633919 ,-0.10151026251102287 ,0.04111644878448741 ,0.6778020528302043  
1.7749999999999957,-61.51345084779416,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041037311441025716 ,0.9966742903898648 ,0.19274246911902304 ,53.76359129850676 ,-0.101477483544899 ,0.04110682196143813 ,0.677950293537234  
1.7999999999999956,-61.51319696454481,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04103831081724197 ,0.9966741220364733 ,0.19274420615232624 ,53.7636262398259 ,-0.10145195003195924 ,0.0410984878543468 ,0.6780984651540107  
1.8249999999999955,-61.51294312927448,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041039309965285486 ,0.9966739537169514 ,0.19274594276781726 ,53.76366117279105 ,-0.10143277753859944 ,0.041091289161214566 ,0.6782465677127822  
1.8499999999999954,-61.51268932800724,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041040308947787665 ,0.9966737854207512 ,0.1927476790743688 ,53.76369609959221 ,-0.10141918984933518 ,0.0410850877264906 ,0.6783946012457706  
1.8749999999999953,-61.512435548472155,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041041307819740774 ,0.9966736171386101 ,0.1927494151675711 ,53.7637310221522 ,-0.10141050564462298 ,0.04107976221046281 ,0.6785425657851728  
1.8999999999999952,-61.51218177989501,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04104230662943168 ,0.9966734488623938 ,0.19275115113135555 ,53.76376594215934 ,-0.1014061268369672 ,0.04107520604236136 ,0.6786904613631628  
1.9249999999999952,-61.51192801281556,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04104330541926084 ,0.99667328058496 ,0.19275288703941912 ,53.76380086109608 ,-0.1014055283547879 ,0.04107132562263533 ,0.6788382880118918  
1.949999999999995,-61.511674238927235,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04104430422646097 ,0.996673112300035 ,0.19275462295647328 ,53.76383578026414 ,-0.1014082491911669 ,0.04106803874406804 ,0.6789860457634898  
1.974999999999995,-61.51142045093645,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041045303083727266 ,0.9966729440021103 ,0.19275635893934084 ,53.76387070080655 ,-0.10141388455840193 ,0.04106527320508972 ,0.6791337346500657  
1.999999999999995,-61.511166642439115,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04104630201977078 ,0.9966727756863466 ,0.1927580950379172 ,53.763905623727005 ,-0.10142207900985489 ,0.04106296559188994 ,0.6792813547037087  
2.024999999999995,-61.51091280781226,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041047301059803906 ,0.9966726073484954 ,0.1927598312960151 ,53.763940549906835 ,-0.10143252040835778 ,0.04106106020878051 ,0.6794289059564885  
2.0499999999999954,-61.510658942118894,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041048300225966665 ,0.996672438984824 ,0.19276156775210584 ,53.76397548011995 ,-0.10144493463584174 ,0.04105950813876168 ,0.6795763884404562  
2.0749999999999957,-61.51040504102448,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04104929953770084 ,0.9966722705920544 ,0.19276330443996953 ,53.764010415045874 ,-0.10145908095221844 ,0.04105826641844128 ,0.6797238021876444  
2.099999999999996,-61.51015110072358,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04105029901207846 ,0.9966721021673081 ,0.19276504138926626 ,53.76404535528126 ,-0.10147474792315216 ,0.041057297313386344 ,0.6798711472300677  
2.1249999999999964,-61.50989711787551,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04105129866409024 ,0.9966719337080562 ,0.1927667786260377 ,53.76408030135 ,-0.10149174984646313 ,0.04105656768168132 ,0.6800184235997233  
2.149999999999997,-61.509643089547716,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.0410522985068988 ,0.9966717652120782 ,0.1927685161731476 ,53.764115253712035 ,-0.10150992361569808 ,0.04105604841495537 ,0.6801656313285912  
2.174999999999997,-61.509389013166185,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04105329855206117 ,0.9966715966774238 ,0.1927702540506681 ,53.76415021277117 ,-0.10152912596707289 ,0.041055713947448585 ,0.6803127704486345  
2.1999999999999975,-61.509134886471806,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04105429880972395 ,0.9966714281023799 ,0.19277199227621955 ,53.764185178881874 ,-0.1015492310626829 ,0.041055541824834625 ,0.6804598409917995  
2.224999999999998,-61.50888070748208,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.041055299288794964 ,0.9966712594854427 ,0.19277373086526872 ,53.76422015235532 ,-0.10157012836871994 ,0.041055512325525984 ,0.6806068429900162  
2.2499999999999982,-61.50862647445747,10.0 ,-5.0 ,-30.0 ,-33.0 ,60.0 ,51.0 ,0.7 ,0.04105629999709377 ,0.9966710908252907 ,0.1927754698313906 ,53.764255133464616 ,-0.10159172079253934 ,0.041055608128073164 ,0.6807537764751982  
